row,col,NDVI,NDVI_log1p,NDVI_log1p_01,region,NDVI_01,NDVI_rescaled,NDVI_rescaledf_log1p,obs_sample_row,chl_a,chl_a_log1p,transect_name,mat_type,afdm,Ef_scores
792,431,0.24617837369441986,0.22008156717738947,0.28031449878420445,delta_harnish_crescent_vg,0.06225937144923357,9.338905717385035,2.3359140334397575,205,0.283,0.24920108563349935,Von Guerard Middle,black,14,0.2571024085464416
756,483,0.24612534046173096,0.22003900957704914,0.28021093541898,delta_harnish_crescent_vg,0.06214340411598337,9.321510617397506,2.33423012699605,89,8.363950929,2.2368673092262106,Von Guerard Lower,orange,4.801762115,0.3010652743920241
1327,410,0.24600724875926971,0.21994423797215107,0.2799803099548449,delta_harnish_crescent_vg,0.061885173962567284,9.282776094385092,2.330470271662531,17,25.59446469,3.2807030997721154,Von Guerard Middle,orange,22.20264317,-0.450836285699999
472,888,0.24596747756004333,0.21991231854792118,0.27990263445240027,delta_harnish_crescent_vg,0.06179820660869125,9.269730991303687,2.3292008299560916,141,4.258190518,1.6597869595805073,Von Guerard Gauge,black,11.3215859,-0.7589785965988617
1318,476,0.24575863778591156,0.2197446919589999,0.27949471733510617,delta_harnish_crescent_vg,0.061341538394164265,9.20123075912464,2.322508375670351,46,14.45064581,2.7376508024701587,Delta Upper,orange,13.39207048,-0.0596618564927438
208,1881,0.2457498461008072,0.21973763463998108,0.27947754344134323,green_bowles,0.061322313688736446,9.198347053310467,2.3222256535611097,145,3.994370044,1.608311286829742,Green,orange,33.65638767,0.7538302189605322
894,448,0.24556204676628113,0.21958687123262172,0.27911066265638407,delta_harnish_crescent_vg,0.060911654430250275,9.136748164537542,2.3161672528971837,58,12.154,2.5767258948791594,Delta Gauge,orange,0.8,0.05625646147569513
827,462,0.24545623362064362,0.21950191549662068,0.2789039239811527,delta_harnish_crescent_vg,0.060680273695940166,9.102041054391025,2.3127374880240437,194,0.954,0.669878553620591,Von Guerard Middle,orange,14.81,1.4298072668181867
826,459,0.24541254341602325,0.21946683520252602,0.27881855654312865,delta_harnish_crescent_vg,0.06058473668523784,9.087710502785676,2.3113179010646525,4,40.27760423,3.7203200824251383,Von Guerard Middle,black,27.2246696,-2.2432331926957296
1311,435,0.24530816078186035,0.21938301798926071,0.2786145884481216,delta_harnish_crescent_vg,0.06035648403859056,9.053472605788585,2.307918107736622,108,7.073964925,2.088644678230082,Von Guerard Middle,orange,11.3215859,0.40783381834916127
828,462,0.24477559328079224,0.21895526730953394,0.27757366274941475,delta_harnish_crescent_vg,0.05919192306911539,8.878788460367309,2.290389878771763,89,8.363950929,2.2368673092262106,Von Guerard Lower,orange,4.801762115,0.3010652743920241
863,754,0.24468842148780823,0.21888523473022972,0.27740323938131856,delta_harnish_crescent_vg,0.059001305227161564,8.850195784074234,2.2874913315422214,194,0.954,0.669878553620591,Von Guerard Middle,orange,14.81,1.4298072668181867
1316,443,0.24466906487941742,0.21886968324074121,0.27736539503453206,delta_harnish_crescent_vg,0.058958978290973865,8.843846743646079,2.2868465639035636,89,8.363950929,2.2368673092262106,Von Guerard Lower,orange,4.801762115,0.3010652743920241
